t,m_x
0.000000,1.0000000000
0.050000,0.9801659132
0.100000,0.9233805191
0.150000,0.8372138927
0.200000,0.7325340036
0.250000,0.6214493980
0.300000,0.5153029206
0.350000,0.4231414663
0.400000,0.3508525295
0.450000,0.3009462072
0.500000,0.2728465472
0.550000,0.2635338705
0.600000,0.2683972083
0.650000,0.2821586803
0.700000,0.2999734272
0.750000,0.3178162138
0.800000,0.3326389116
0.850000,0.3391652165
0.900000,0.3396999907
0.950000,0.3365800955
1.000000,0.3311918911
1.050000,0.3248125970
1.100000,0.3182807018
1.150000,0.3119883504
1.200000,0.3062265437
1.250000,0.3012288483
1.300000,0.2975431056
1.350000,0.2957821179
1.400000,0.2965858965
1.450000,0.3002271763
1.500000,0.3064313055
1.550000,0.3144316426
1.600000,0.3228545032
1.650000,0.3304788942
1.700000,0.3360650282
1.750000,0.3386642264
1.800000,0.3382489710
1.850000,0.3353857917
1.900000,0.3313135461
1.950000,0.3271611507
2.000000,0.3236261023
